Ref_Time	Buffalo_Ppl	All_Border
2015-8	1618868	7093130
2015-9	1079492	5170225
2015-10	995161	4762982
2015-11	827970	4183571
2015-12	864081	4339526
2016-1	684555	3691923
2016-2	618079	3412720
2016-3	851964	4206919
2016-4	800317	4131437
2016-5	1026603	4966719
2016-6	1106812	5410354
2016-7	1594192	7104266
